"Articles"

"Number";"Description";"Type";"GroupName";"Weight";"Width";"Length";"Height";"QuantityFormulaId";"MeasureUnitForInventoryQty";"MeasureUnit";"SupplierNumber"
"SB0001";"SB 0.5NPS 150# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"150";"0,5";"100";"100";"1";"pcs";"pcs";"2"
"SB0002";"SB 0.5NPS 300# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"300";"0,5";"100";"100";"1";"pcs";"pcs";"2"
"SB0003";"SB 0.5NPS 600# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"600";"0,5";"100";"100";"1";"pcs";"pcs";"2"
"SB0004";"SB 0.75NPS 150# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"150";"0,75";"100";"100";"1";"pcs";"pcs";"2"
"SB0005";"SB 0.75NPS 300# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"300";"0,75";"100";"100";"1";"pcs";"pcs";"2"
"SB0006";"SB 0.75NPS 600# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"600";"0,75";"100";"100";"1";"pcs";"pcs";"2"
"SB0007";"SB 1.5NPS 150# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"150";"1,5";"100";"100";"1";"pcs";"pcs";"2"
"SB0008";"SB 1.5NPS 300# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"300";"1,5";"100";"100";"1";"pcs";"pcs";"2"
"SB0009";"SB 1.5NPS 600# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"600";"1,5";"100";"100";"1";"pcs";"pcs";"2"
"SB0010";"SB 10NPS 150# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"150";"10";"100";"100";"1";"pcs";"pcs";"2"
"SB0011";"SB 10NPS 300# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"300";"10";"100";"100";"1";"pcs";"pcs";"2"
"SB0012";"SB 10NPS 600# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"600";"10";"100";"100";"1";"pcs";"pcs";"2"
"SB0013";"SB 12NPS 150# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"150";"12";"100";"100";"1";"pcs";"pcs";"2"
"SB0014";"SB 12NPS 300# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"300";"12";"100";"100";"1";"pcs";"pcs";"2"
"SB0015";"SB 12NPS 600# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"600";"12";"100";"100";"1";"pcs";"pcs";"2"
"SB0016";"SB 14NPS 150# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"150";"14";"100";"100";"1";"pcs";"pcs";"2"
"SB0017";"SB 14NPS 300# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"300";"14";"100";"100";"1";"pcs";"pcs";"2"
"SB0018";"SB 14NPS 600# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"600";"14";"100";"100";"1";"pcs";"pcs";"2"
"SB0019";"SB 16NPS 150# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"150";"16";"100";"100";"1";"pcs";"pcs";"2"
"SB0020";"SB 16NPS 300# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"300";"16";"100";"100";"1";"pcs";"pcs";"2"
"SB0021";"SB 16NPS 600# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"600";"16";"100";"100";"1";"pcs";"pcs";"2"
"SB0022";"SB 18NPS 150# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"150";"18";"100";"100";"1";"pcs";"pcs";"2"
"SB0023";"SB 18NPS 300# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"300";"18";"100";"100";"1";"pcs";"pcs";"2"
"SB0024";"SB 18NPS 600# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"600";"18";"100";"100";"1";"pcs";"pcs";"2"
"SB0025";"SB 1NPS 150# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"150";"1";"100";"100";"1";"pcs";"pcs";"2"
"SB0026";"SB 1NPS 300# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"300";"1";"100";"100";"1";"pcs";"pcs";"2"
"SB0027";"SB 1NPS 600# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"600";"1";"100";"100";"1";"pcs";"pcs";"2"
"SB0028";"SB 2.5NPS 150# FF ASME B16.48-SLBN";"1";"Spectacle Blind";"150";"2,5";"100";"100";"1";"pcs";"pcs";"2"
